19:32:23 [AccountInfo] Account connected (Account: Admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
19:58:27 [AccountInfo] Account disconnected (Account: Admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:00:19 [AccountInfo] Account connected (Account: Admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:06:23 [AccountInfo] Account connected (Account: Admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:15:47 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:27:08 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:40:34 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
20:48:21 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
21:01:05 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
21:06:12 [AccountInfo] Account connected (Account: admin1, IpAddress: 80.134.4.235, GameServerCode: 20)
